Measurement,Time,Pval
AreaShape_Area,0HR,0.156965908906732
AreaShape_Area,3HR,0.000910867991787942
AreaShape_Area,6HR,0.0127378706148217
AreaShape_Area,12HR,2.97481132251999e-14
AreaShape_Area,24HR,5.55873746711721e-07
AreaShape_Perimeter,0HR,0.69488408981571
AreaShape_Perimeter,3HR,0.000303196306291804
AreaShape_Perimeter,6HR,0.358014974468044
AreaShape_Perimeter,12HR,4.70315971496841e-09
AreaShape_Perimeter,24HR,1.47040090076281e-07
CASP.intensity.corrected,0HR,1.07621650187982e-15
CASP.intensity.corrected,3HR,0.0163675186835891
CASP.intensity.corrected,6HR,1.08043365102595e-42
CASP.intensity.corrected,12HR,2.47937623833902e-10
CASP.intensity.corrected,24HR,1.43408962334245e-105
EDU.Intensity.corrected,0HR,2.39653007311679e-39
EDU.Intensity.corrected,3HR,4.39856647800835e-55
EDU.Intensity.corrected,6HR,3.82489512790522e-37
EDU.Intensity.corrected,12HR,3.13806264590722e-197
EDU.Intensity.corrected,24HR,4.48608536496035e-28
TUNEL.Intensity.Corrected,0HR,3.84504826762666e-84
TUNEL.Intensity.Corrected,3HR,1.91370414755275e-92
TUNEL.Intensity.Corrected,6HR,7.75050084294996e-15
TUNEL.Intensity.Corrected,12HR,8.73259727582923e-46
TUNEL.Intensity.Corrected,24HR,6.77625528849161e-16
CASP.area.corrected,0HR,2.39289815003356e-33
CASP.area.corrected,3HR,0.00263254891163285
CASP.area.corrected,6HR,1.19463682633188e-47
CASP.area.corrected,12HR,3.06320245713076e-27
CASP.area.corrected,24HR,1.47096001045052e-81
EDU.area.corrected,0HR,1.24667197901696e-26
EDU.area.corrected,3HR,1.0654512946108e-69
EDU.area.corrected,6HR,7.29407325601368e-36
EDU.area.corrected,12HR,4.12183773955665e-194
EDU.area.corrected,24HR,2.93641680382751e-28
TUNEL.area.Corrected,0HR,4.57634027573951e-76
TUNEL.area.Corrected,3HR,3.19039261967669e-64
TUNEL.area.Corrected,6HR,2.62737558386317e-17
TUNEL.area.Corrected,12HR,0.00127387481470377
TUNEL.area.Corrected,24HR,0.985554394571033
